interval,ma,max.cor,min.cor
Irvingtonian,1.8,Early/Lower Pleistocene,Middle Pleistocene
Blancan,4.9,Zanclean,Gelasian
Hemphillian,10.3,Tortonian,Zanclear
Clarendonian,13.6,Serravallian,Tortonian
Barstovian,16.3,Langhian,Serravallian
Hemingfordian,20.6,Burdigalian,
Harrisonian,24.8,Chattian,Aquitanian
Monroecreekian,26.3,Chattian,
Geringian,30.8,Rupelian,Chattian
Whitneyan,33.3,Rupelian,
Orellan,33.9,Rupelian,
Chadronian,38,Priabonian,
Duchesnean,42,Bartonian,
Uintan,46.2,Lutetian,
Bridgerian,50.3,Ypresian,Lutetian
Wasatchian,55.4,Ypresian,
Clarkforkian,56.8,Thanetian,
Tiffanian,60.2,Selandian,Thanetian
Torrejonian,63.3,Danian,
Puercan,65,Danian,
